pincode,city,district,state,lat,lng
110099,ROHINI SECTOR 23 SO,North West,Delhi,28.720596,77.080909
110110,"Nodal Delivery Centre(Parcel), Rohini",North West,Delhi,28.7158,77.11
121001,Nh2 Faridabad SO,Faridabad,Haryana,28.1281944,77.8165
121002,Faridabad Sector 16a  SO,Faridabad,Haryana,28.3917778,77.3021389
121003,Gurukul Indraprashtha BO,Faridabad,Haryana,28.359866,77.359719
121004,Baroli BO,Faridabad,Haryana,24.95972,75.593164
121005,Jawahar Colony Faridabad SO,Faridabad,Haryana,28.3696111,77.2866389
121006,Faridabad Sector 8 SO,Faridabad,Haryana,28.3574444,77.3336389
121007,Escortsnagar Faridabad SO,Faridabad,Haryana,28.3832778,77.3258889
121008,Faridabad Sector 29 SO,Faridabad,Haryana,28.3917778,77.3021389
121009,Surajkund Faridabad SO,Faridabad,Haryana,28.4881111,77.2945833
121010,SECTOR46,Faridabad,Haryana,28.4391,77.3009
121012,Sector21D  SO,Faridabad,Haryana,28.3917778,77.3021389
121013,Sec91 SO,Faridabad,Haryana,28.3917778,77.3021389
121014,Greater Faridabad PO,Faridabad,Haryana,28.4726,77.4848
121015,Sector55 PO,Faridabad,Haryana,28.3453,77.2965
121101,Chandpur BO,Faridabad,Haryana,23.2551315,90.851785
121102,Amroli BO,Palwal,Haryana,21.246806,75.851243
121103,Uttawar BO,Palwal,Haryana,27.982955,77.188775
121105,Manpur BO,Palwal,Haryana,27.384294,30.747771
121106,Hodal SO,Palwal,Haryana,27.8942222,77.3709444
121107,Likhi BO,Palwal,Haryana,23.70691,73.022817
122001,Mini Sectt SO,Gurugram,Haryana,28.4486944,77.0293056
122002,DLF QE SO,Gurugram,Haryana,28.466093,77.1058349
122003,Jharsa BO,Gurugram,Haryana,28.4465007,77.073616
122004,Narsinghpur SO,Gurugram,Haryana,28.4134444,76.9918056
122005,Air Force SO,Gurugram,Haryana,28.5056111,77.0710556
122006,Railwary Road SO,Gurugram,Haryana,28.4227222,77.1031389
122007,Industrial Estate SO Gurgaon,Gurugram,Haryana,28.462,77.0316389
122008,DLF PhII SO,Gurugram,Haryana,28.462,77.0316389
122009,Galleria DLFIV SO,Gurugram,Haryana,28.3408889,76.7561944
122010,DLF PhIII SO,Gurugram,Haryana,28.466093,77.1058349
122011,Gurgaon Sector 56 SO,Gurugram,Haryana,28.462,77.0316389
122012,Vatika India Sec 82 SO,Gurugram,Haryana,28.413887,76.9931945
122015,Palam Road SO,Gurugram,Haryana,28.4973611,77.0630556
122016,Industrial Complex Dundahera SO,Gurugram,Haryana,28.4965833,77.0852778
122017,Palam Vihar SO Gurgaon,Gurugram,Haryana,28.462,77.0316389
122018,Gurgaon South City II SO,Gurugram,Haryana,28.462,77.0316389
122051,Nsg Camp Manesar SO,Gurugram,Haryana,28.342,76.9365278
122052,IMT Manesar SO,Gurugram,Haryana,28.342,76.9364722
122098,CRPF Kadarpur SO,Gurugram,Haryana,28.3913822,77.0511932
122101,Teekli BO,Gurugram,Haryana,28.3913822,77.0511932
122102,Bhondsi SO,Gurugram,Haryana,28.3168333,77.0620833
122103,Ghasera BO,Gurugram,Haryana,28.248459,77.065802
122104,Ferozepur Jhirka SO,Nuh,Haryana,27.7781944,76.9451944
122105,Goyla BO,Nuh,Haryana,28.21313,76.954679
122107,Akhera BO,Nuh,Haryana,28.095943,77.001664
122108,Bhadas BO,Nuh,Haryana,27.9204,76.984468
122413,Dhani Chitarsain BO,Gurugram,Haryana,29.387631,77.446429
122414,Khatauli BO,Gurugram,Haryana,28.271733,76.740867
122502,Khalilpur SO,Gurugram,Haryana,28.2743611,76.6789722
122503,Unchamajra BO,Gurugram,Haryana,28.325728,76.777811
122504,Haillymandi SO,Gurugram,Haryana,28.3351667,76.7561111
122505,Mankdola BO,Gurugram,Haryana,28.421592,76.914258
122506,Patil RS BO,Gurugram,Haryana,28.446796,76.825692
122508,Baded BO,Nuh,Haryana,27.824681,77.177104
123001,Dhanota BO,Mahendragarh,Haryana,28.044064,76.118082
123021,Mandi Ateli SO,Mahendragarh,Haryana,28.1001389,76.2607222
123023,Nangal Chaudhry SO,Mahendragarh,Haryana,27.8916389,76.1113056
